yearID 5423428.0 1954.38846847
Rank 11431.0 4.11927927928
G 416868.0 150.222702703
W 207242.0 74.6818018018
L 207242.0 74.6818018018
R 1892211.0 681.877837838
AB 14259203.0 5138.45153153
H 3734191.0 1345.65441441
2B 630246.0 227.115675676
3B 131188.0 47.274954955
HR 278779.0 100.460900901
BB 1314513.0 473.698378378
RA 1892211.0 681.877837838
ER 1582286.0 570.193153153
ERA 10582.3 3.81344144144
CG 141495.0 50.9891891892
SHO 26769.0 9.64648648649
SV 65096.0 23.458018018
IPouts 11152562.0 4018.94126126
HA 3733659.0 1345.4627027
HRA 278779.0 100.460900901
BBA 1315527.0 474.063783784
SOA 2013652.0 725.64036036
E 519846.0 187.331891892
FP 2667.525 0.96127027027
BPF 278050.0 100.198198198
PPF 278123.0 100.224504505
